question,answer
What causes hypertension?,"Consistently high blood pressure due to factors like genetics, diet, and stress."
What are the symptoms of diabetes mellitus?,"Increased thirst, frequent urination, fatigue, and blurred vision."
What is insulin resistance?,"A condition where cells become less responsive to insulin, leading to higher blood sugar."
What is the function of the liver?,"The liver filters toxins, metabolizes drugs, and produces important proteins."
How is asthma treated?,"Asthma is managed with inhalers, corticosteroids, and avoiding triggers."
What are the side effects of chemotherapy?,"Common side effects include fatigue, nausea, hair loss, and immune suppression."
How does a vaccine work?,Vaccines stimulate the immune system to recognize and fight specific pathogens.
What is anemia?,Anemia is a condition marked by a deficiency of red blood cells or hemoglobin.
What causes a stroke?,A stroke is caused by interrupted blood flow to the brain due to a clot or bleeding.
What is the purpose of antibiotics?,Antibiotics are used to kill or inhibit the growth of bacteria causing infections.
